name,material,type_wood,processing,size,sort,price,unit,img
Наличники,Сосна,Сибирская (Ангарская),,140х2.7/3/4м,3,140,пог.м,
Наличники,Лиственница,Сибирская (Ангарская),,15х70х1.2/2.2/2.4/25/3м,0,180,пог.м,
Наличники,Лиственница,Сибирская (Ангарская),,15х90х1.2/2.2/2.4/25/3м,0,250,пог.м,
Наличники,Лиственница,Сибирская (Ангарская),текстурированная/брашированная,15х70х1.2/2.2м,0,250,пог.м,
Наличники,Лиственница,Сибирская (Ангарская),текстурированная/брашированная,15х90х1.2/2.2м,0,350,пог.м,
Нащельник раскладка,Сосна,Сибирская (Ангарская),,30х2-4.5м,0,40,пог.м,
Нащельник раскладка,Сосна,Сибирская (Ангарская),,30х2-4.5м,1,30,пог.м,
Нащельник раскладка,Сосна,Сибирская (Ангарская),,40х2-4.5м; 50х3м,0,50,пог.м,
Нащельник раскладка,Сосна,Сибирская (Ангарская),,40х2-4.5м; 50х3м,1,40,пог.м,
Нащельник раскладка,Лиственница,Сибирская (Ангарская),,30х2-4м; 35х2-4м,0,80,пог.м,
Нащельник раскладка,Лиственница,Сибирская (Ангарская),,30х2-4м; 35х2-4м,1,60,пог.м,
Нащельник раскладка,Лиственница,Сибирская (Ангарская),,40х2-4м; 45х2-4м,0,100,пог.м,
Нащельник раскладка,Лиственница,Сибирская (Ангарская),,40х2-4м; 45х2-4м,1,90,пог.м,
Плинтус напольный/потолочный,Сосна,Сибирская (Ангарская),,28х2-4м,0,35,пог.м,
Плинтус напольный/потолочный,Сосна,Сибирская (Ангарская),,28х2-4м,1,30,пог.м,
Плинтус напольный/потолочный,Сосна,Сибирская (Ангарская),,30х2-3м,0,35,пог.м,
Плинтус напольный/потолочный,Сосна,Сибирская (Ангарская),,30х2-3м,1,30,пог.м,
Плинтус напольный/потолочный,Сосна,Сибирская (Ангарская),,50х2.9м,0,70,пог.м,
Плинтус напольный/потолочный,Сосна,Сибирская (Ангарская),,50х2.9м,1,60,пог.м,
Плинтус напольный/потолочный,Сосна,Сибирская (Ангарская),,50х2.9м,2,50,пог.м,
Плинтус напольный/потолочный,Сосна,Сибирская (Ангарская),,55х2.5/3м,0,70,пог.м,
Плинтус напольный/потолочный,Сосна,Сибирская (Ангарская),,55х2.5/3м,1,60,пог.м,
Плинтус напольный/потолочный,Лиственница,Сибирская (Ангарская),,42х2.2/2.4м,0,80,пог.м,
Плинтус напольный/потолочный,Лиственница,Сибирская (Ангарская),,42х2.2/2.4м,1,70,пог.м,
Плинтус напольный/потолочный,Лиственница,Сибирская (Ангарская),,42х2.2/2.4м,2,60,пог.м,
Плинтус напольный/потолочный,Лиственница,Сибирская (Ангарская),,55х3м,0,90,пог.м,
Плинтус напольный/потолочный,Лиственница,Сибирская (Ангарская),,55х3м,1,80,пог.м,
Плинтус напольный/потолочный,Лиственница,Сибирская (Ангарская),,55х3м,2,55,пог.м,
Плинтус напольный/потолочный,Лиственница,Сибирская (Ангарская),,60х2-4.5м,0,90,пог.м,
Плинтус напольный/потолочный,Лиственница,Сибирская (Ангарская),,90х2.5м,0,250,пог.м,
Плинтус напольный/потолочный,Кедр,Сибирская (Ангарская),,,,,пог.м,
