name	material	size	sort	price	unit	img
Нащельник/Раскладка	Сосна Сибирская (Ангарская)	30х2-4.5м;	1	30	пог.м	catalog/Nashelnik-Raskladka-Sosna.png; catalog/Nashelnik-Raskladka-Sosna1.png
Нащельник/Раскладка	Сосна Сибирская (Ангарская)	40х2-4.5м; 50х3м;	0	50	пог.м	catalog/Nashelnik-Raskladka-Sosna.png; catalog/Nashelnik-Raskladka-Sosna1.png
Нащельник/Раскладка	Сосна Сибирская (Ангарская)	40х2-4.5м; 50х3м;	1	40	пог.м	catalog/Nashelnik-Raskladka-Sosna.png; catalog/Nashelnik-Raskladka-Sosna1.png
Паркет	Дуб Кантри	18х85/110/150х30-100м;		1200	кв.м	
Паркет	Дуб Рустик	18х85/110/150х30-100м;		1700	кв.м	
Паркет	Дуб Натур	18х85/110/150х30-100м;		2400	кв.м	
Паркет	Дуб Селект	18х85/110/150х30-100м;		3000	кв.м	
Плинтус (напольный/потолочный)	Кедр Сибирский (Ангарский)	под заказ			пог.м	catalog/Plintus-Listv-Potoloshnii-Napol.png; catalog/Plintus-Listv-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Лиственница Сибирская (Ангарская)	42х2.2/2.4м;	0	80	пог.м	catalog/Plintus-Listv-Potoloshnii-Napol.png; catalog/Plintus-Listv-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Лиственница Сибирская (Ангарская)	42х2.2/2.4м;	1	70	пог.м	catalog/Plintus-Listv-Potoloshnii-Napol.png; catalog/Plintus-Listv-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Лиственница Сибирская (Ангарская)	42х2.2/2.4м;	2	60	пог.м	catalog/Plintus-Listv-Potoloshnii-Napol.png; catalog/Plintus-Listv-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Лиственница Сибирская (Ангарская)	55х3м;	0	90	пог.м	catalog/Plintus-Listv-Potoloshnii-Napol.png; catalog/Plintus-Listv-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Лиственница Сибирская (Ангарская)	55х3м;	1	80	пог.м	catalog/Plintus-Listv-Potoloshnii-Napol.png; catalog/Plintus-Listv-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Лиственница Сибирская (Ангарская)	55х3м;	2	55	пог.м	catalog/Plintus-Listv-Potoloshnii-Napol.png; catalog/Plintus-Listv-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Лиственница Сибирская (Ангарская)	60х2-4.5м;	0	90	пог.м	catalog/Plintus-Listv-Potoloshnii-Napol.png; catalog/Plintus-Listv-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Лиственница Сибирская (Ангарская)	90х2.5м;	0	250	пог.м	catalog/Plintus-Listv-Potoloshnii-Napol.png; catalog/Plintus-Listv-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Сосна Сибирская (Ангарская)	28х2-4м;	0	35	пог.м	catalog/Plintus-Sosna-Potoloshnii-Napol.png; catalog/Plintus-Sosna-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Сосна Сибирская (Ангарская)	28х2-4м;	1	30	пог.м	catalog/Plintus-Sosna-Potoloshnii-Napol.png; catalog/Plintus-Sosna-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Сосна Сибирская (Ангарская)	30х2-3м;	0	35	пог.м	catalog/Plintus-Sosna-Potoloshnii-Napol.png; catalog/Plintus-Sosna-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Сосна Сибирская (Ангарская)	30х2-3м;	1	30	пог.м	catalog/Plintus-Sosna-Potoloshnii-Napol.png; catalog/Plintus-Sosna-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Сосна Сибирская (Ангарская)	50х2.9м;	0	70	пог.м	catalog/Plintus-Sosna-Potoloshnii-Napol.png; catalog/Plintus-Sosna-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Сосна Сибирская (Ангарская)	50х2.9м;	1	60	пог.м	catalog/Plintus-Sosna-Potoloshnii-Napol.png; catalog/Plintus-Sosna-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Сосна Сибирская (Ангарская)	50х2.9м;	2	50	пог.м	catalog/Plintus-Sosna-Potoloshnii-Napol.png; catalog/Plintus-Sosna-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Сосна Сибирская (Ангарская)	55х2.5/3м;	0	70	пог.м	catalog/Plintus-Sosna-Potoloshnii-Napol.png; catalog/Plintus-Sosna-Potoloshnii-Napol1.png
Плинтус (напольный/потолочный)	Сосна Сибирская (Ангарская)	55х2.5/3м;	1	60	пог.м	catalog/Plintus-Sosna-Potoloshnii-Napol.png; catalog/Plintus-Sosna-Potoloshnii-Napol1.png
Подоконники - Ступени	Лиственница Сибирская (Ангарская)	40х200х1.5/1.8/2/2.2/2.4м; 40х250х2.4м;40х300х1/1.1/1.2/1.4/1.5/2/2.2/2.4/2.5/3м; 40х400х2м; 40х420х2.5/2.9м; 40х600х2/2.1/2.3/2.5/3м;		4000	кв.м	catalog/Podokonik-Listv.png; catalog/Podokonik-Listv1.png
Подоконники - Ступени	Сосна Сибирская (Ангарская)	40х200х1.5/2/2.2/2.4м; 40х300х1.5/2.2м; 40х400х1.5/2.1/2.5м;		2500	кв.м	catalog/Podokon-Sosna.png
Подступени	Лиственница Сибирская (Ангарская)	20х200х1/1.5/2м; 20х300х1/1.5/2м;		1800	кв.м	catalog/Podstupeni-Listv1.png
Полок	Абаш	27х90х2-3м;		300	пог.м	
Полок	Кедр Алтайский	40х90-140х2-3; от 500 руб/пог.м; (под заказ)			пог.м	catalog/Polok-Kedr.png
Полок	Кедр Алтайский	20х20-100х2-3м;		300	пог.м	catalog/Polok-Kedr.png
Полок	Кедр Сибирский (Ангарский)	30х60х2м; (60м)		160	пог.м	
Полок	Кедр Сибирский (Ангарский)	30х100/115х2.4м; 32х112х2.4м; 35х120х2.4м; (100м, 112м, 115м)		300	пог.м	
Стеновая панель	Лиственница Сибирская (Ангарская) текстурированная/брашированная	21х88/135х1.5/1.8/2.4м;	0	2100	кв.м	catalog/StenovaiaPanel-Listv-Tekstur-Brashirovanaia.png; catalog/StenovaiaPanel-Listv-Tekstur-Brashirovanaia1.png
Стеновая панель	Лиственница Сибирская (Ангарская) текстурированная/брашированная	21х88/135х1.5/1.8/2.4м;	1	1900	кв.м	catalog/StenovaiaPanel-Listv-Tekstur-Brashirovanaia.png; catalog/StenovaiaPanel-Listv-Tekstur-Brashirovanaia1.png
Стеновая панель	Лиственница Сибирская (Ангарская) текстурированная/брашированная	21х88/135х1.5/1.8/2.4м;	2	1700	кв.м	catalog/StenovaiaPanel-Listv-Tekstur-Brashirovanaia.png; catalog/StenovaiaPanel-Listv-Tekstur-Brashirovanaia1.png
Стеновая панель	Лиственница Сибирская (Ангарская) текстурированная/брашированная	21х88/135х1.5/1.8/2.4м;	3	1500	кв.м	catalog/StenovaiaPanel-Listv-Tekstur-Brashirovanaia.png; catalog/StenovaiaPanel-Listv-Tekstur-Brashirovanaia1.png
Уголок внутренний	Лиственница Сибирская (Ангарская)	21х21х3м;	0	100	пог.м	catalog/Ugolokvnutr-Listv.png; catalog/Ugolokvnutr-Listv1.png
Уголок внутренний	Сосна Сибирская (Ангарская)	20х20х3м;	0	45	пог.м	catalog/Ugolokvnutr-Sosna.png; catalog/Ugolokvnutr-Sosna1.png
Уголок наружный	Лиственница Сибирская (Ангарская)	30х30х3-4м;	0	200	пог.м	catalog/Ugoloknarusn-Listv.png; catalog/Ugoloknarusn-Listv1.png
Уголок наружный	Сосна Сибирская (Ангарская)	30х30х3м;	0	50	пог.м	catalog/Ugoloknarusn-Sosna.png; catalog/Ugoloknarusn-Sosna1.png
Уголок наружный	Сосна Сибирская (Ангарская)	40х40х3м;	0	60	пог.м	catalog/Ugoloknarusn-Sosna.png; catalog/Ugoloknarusn-Sosna1.png
Уголок наружный	Сосна Сибирская (Ангарская)	50х50х3м;	0	80	пог.м	catalog/Ugoloknarusn-Sosna.png; catalog/Ugoloknarusn-Sosna1.png
Уголок наружный	Сосна Сибирская (Ангарская)	70х70х3м;	0	90	пог.м	catalog/Ugoloknarusn-Sosna.png; catalog/Ugoloknarusn-Sosna1.png
Фальцовка/Четверть	Сосна Сибирская (Ангарская)	16х80х4м;	2	300	кв.м	catalog/Falcovka-Sosna1.png
Черенки	Сосна Сибирская (Ангарская)	32х2м;		150	шт	catalog/Cherenki.png; catalog/Cherenki1.png
Штапик	Сосна Сибирская (Ангарская)	10х10х2м;		10	пог.м	catalog/Chtapik-Sosna.png; catalog/Chtapik-Sosna1.png
